Período,Sector,Altas,Bajas,Creacion_Neta
1º Trim 2004,E,819.0,412.0,407.0
1º Trim 2004,E,850.0,526.0,324.0
2º Trim 2004,E,848.0,324.0,524.0
1º Trim 2005,E,629.0,469.0,160.0
1º Trim 2005,E,1125.0,486.0,639.0
1º Trim 2005,E,936.0,850.0,86.0
2º Trim 2005,E,1066.0,248.0,818.0
1º Trim 2006,E,1650.0,351.0,1299.0
1º Trim 2006,E,4794.0,5376.0,-582.0
1º Trim 2006,E,950.0,386.0,564.0
2º Trim 2006,E,1013.0,658.0,355.0
1º Trim 2007,E,930.0,563.0,367.0
1º Trim 2007,E,867.0,563.0,304.0
1º Trim 2007,E,838.0,826.0,12.0
2º Trim 2007,E,796.0,369.0,427.0
1º Trim 2008,E,1036.0,444.0,592.0
1º Trim 2008,E,908.0,485.0,423.0
1º Trim 2008,E,700.0,551.0,149.0
2º Trim 2008,E,600.0,565.0,35.0
1º Trim 2009,E,617.0,463.0,154.0
1º Trim 2009,E,1385.0,358.0,1027.0
1º Trim 2009,E,777.0,426.0,351.0
2º Trim 2009,E,742.0,389.0,353.0
1º Trim 2010,E,682.0,566.0,116.0
1º Trim 2010,E,810.0,570.0,240.0
1º Trim 2010,E,1230.0,379.0,851.0
2º Trim 2010,E,1093.0,990.0,103.0
1º Trim 2011,E,1048.0,294.0,754.0
1º Trim 2011,E,1009.0,365.0,644.0
1º Trim 2011,E,964.0,421.0,543.0
2º Trim 2011,E,990.0,296.0,694.0
1º Trim 2012,E,836.0,668.0,168.0
1º Trim 2012,E,995.0,394.0,601.0
1º Trim 2012,E,741.0,618.0,123.0
2º Trim 2012,E,1270.0,462.0,808.0
1º Trim 2013,E,1236.0,395.0,841.0
1º Trim 2013,E,1089.0,509.0,580.0
1º Trim 2013,E,1359.0,444.0,915.0
2º Trim 2013,E,1338.0,549.0,789.0
1º Trim 2014,E,1174.0,420.0,754.0
1º Trim 2014,E,1215.0,394.0,821.0
1º Trim 2014,E,883.0,274.0,609.0
